Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FNB,F.N.B. Corporation,11.73,$3.8B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fnb
FNB^E,F.N.B. Corporation,28.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fnb^e
FND,"Floor & Decor Holdings, Inc.",32.81,$3.19B,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fnd
FNF,"Fidelity National Financial, Inc.",34.96,$9.62B,2014,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fnf
FNV,Franco-Nevada Corporation,75.93,$14.2B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fnv
FOE,Ferro Corporation,16.89,$1.41B,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/foe
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",12.24,$333.04M,2006,n/a,n/a,https://www.nasdaq.com/symbol/fof
FOR,Forestar Group Inc,16.88,$708.22M,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/for
FPAC,Far Point Acquisition Corporation,9.82,$770.21M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/fpac
FPAC.U,Far Point Acquisition Corporation,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/fpac.u
FPAC.WS,Far Point Acquisition Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fpac.ws
FPF,First Trust Intermediate Duration Preferred & Income Fund,21.09,$1.28B,2013,n/a,n/a,https://www.nasdaq.com/symbol/fpf
FPH,"Five Point Holdings, LLC",7.29,$484.99M,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/fph
FPI,Farmland Partners Inc.,5.59,$208.21M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fpi
FPI^B,Farmland Partners Inc.,23.57,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fpi^b
FPL,First Trust New Opportunities MLP & Energy Fund,8.8,$223.51M,2014,n/a,n/a,https://www.nasdaq.com/symbol/fpl
FR,"First Industrial Realty Trust, Inc.",32.88,$4.15B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fr
FRA,Blackrock Floating Rate Income Strategies Fund Inc,12.65,$470.99M,2003,n/a,n/a,https://www.nasdaq.com/symbol/fra
FRAC,"Keane Group, Inc.",10.5,$1.09B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac
FRC,FIRST REPUBLIC BANK,99.8,$16.45B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc
FRC^D,FIRST REPUBLIC BANK,23.87,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^d
FRC^F,FIRST REPUBLIC BANK,25.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^f
FRC^G,FIRST REPUBLIC BANK,25.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^g
FRC^H,FIRST REPUBLIC BANK,22.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^h
FRC^I,FIRST REPUBLIC BANK,24.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^i
FRO,Frontline Ltd.,5.24,$889.86M,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/fro
FRT,Federal Realty Investment Trust,133.42,$9.85B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/frt
FRT^C,Federal Realty Investment Trust,24.39,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frt^c
FSB,"Franklin Financial Network, Inc.",32.02,$465.51M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/fsb
FSD,First Trust High Income Long Short Fund,14.35,$429.74M,2010,n/a,n/a,https://www.nasdaq.com/symbol/fsd
FSK,FS KKR Capital Corp.,6.3,$3.35B,2014,n/a,n/a,https://www.nasdaq.com/symbol/fsk
FSM,Fortuna Silver Mines Inc.,3.94,$630.16M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fsm
FSS,Federal Signal Corporation,21.62,$1.3B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fss
FT,Franklin Universal Trust,6.66,$167.38M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ft
FTAI,Fortress Transportation and Infrastructure Investors LLC,14.69,$1.23B,2015,n/a,n/a,https://www.nasdaq.com/symbol/ftai
FTCH,Farfetch Limited,19.41,$5.54B,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ftch
FTI,TechnipFMC plc,23.77,$10.7B,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fti
FTK,"Flotek Industries, Inc.",2.72,$155.14M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ftk
FTS,Fortis Inc.,36.1,$15.47B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fts
FTSI,"FTS International, Inc.",8.67,$947.41M,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ftsi
FTV,Fortive Corporation,74.95,$25.03B,2016,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ftv
FTV^A,Fortive Corporation,978.1354,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ftv^a
FUL,H. B. Fuller Company,48.83,$2.48B,n/a,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/ful
FUN,"Cedar Fair, L.P.",54,$3.05B,1987,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/fun
G,Genpact Limited,31.1,$5.91B,2007,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/g
GAB,"Gabelli Equity Trust, Inc. (The)",5.92,$1.5B,1986,n/a,n/a,https://www.nasdaq.com/symbol/gab
GAB^D,"Gabelli Equity Trust, Inc. (The)",25.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gab^d
